priority,regex_source_column,exact_source_column,regex_pattern,exact_values,canonical_name,original_condition
548,species_normalized,,nectandra rubra,,nectandra rubra,"str_detect(tree_species_name_clean, ""nectandra rubra"")"
549,species_normalized,,nuxia capitata,,nuxia capitata,"str_detect(tree_species_name_clean, ""nuxia capitata"")"
550,species_normalized,,ochroma pyramidale,,ochroma pyramidale,"str_detect(tree_species_name_clean, ""ochroma pyramidale"")"
551,species_normalized,,ormosia arborea,,ormosia arborea,"str_detect(tree_species_name_clean, ""ormosia arborea"")"
552,species_normalized,,parahancornia fasciculata,,parahancornia fasciculata,"str_detect(tree_species_name_clean, ""parahancornia fasciculata"")"
553,species_normalized,,paramacrolobium coelucum|paramacrolobium coelureum|paramacrolobium coeru,,paramacrolobium coeruleum,"str_detect(           tree_species_name_clean,           ""paramacrolobium coelucum|paramacrolobium coelureum|paramacrolobium coeru""         )"
554,species_normalized,,paubrasilia echinata,,paubrasilia echinata,"str_detect(tree_species_name_clean, ""paubrasilia echinata"")"
555,species_normalized,,cyntharexyllum myrianthum,,cyntharexyllum myrianthum,"str_detect(tree_species_name_clean, ""cyntharexyllum myrianthum"")"
556,species_normalized,,caesalpinia ferrea,,caesalpinia ferrea,"str_detect(tree_species_name_clean, ""caesalpinia ferrea"")"
557,species_normalized,,triplaris amaericana,,triplaris amaericana,"str_detect(tree_species_name_clean, ""triplaris amaericana"")"
558,species_normalized,,peltophorum dubium|peltorphoorium dubium,,peltophorum dubium,"str_detect(           tree_species_name_clean,           ""peltophorum dubium|peltorphoorium dubium""         )"
559,species_normalized,,pentaclethra macrophilla|pentaclehtra macrophylla|pentaclehtra macrophilla|pentachlethra macrophylla,,pentaclethra macrophylla,"str_detect(           tree_species_name_clean,           ""pentaclethra macrophilla|pentaclehtra macrophylla|pentaclehtra macrophilla|pentachlethra macrophylla""         )"
560,species_normalized,,peschiera fuchsiaefolia,,peschiera fuchsiaefolia,"str_detect(tree_species_name_clean, ""peschiera fuchsiaefolia"")"
561,species_normalized,,piptadenia paniculata,,piptadenia paniculata,"str_detect(tree_species_name_clean, ""piptadenia paniculata"")"
562,species_normalized,,plathymenia reticulata|platimenia reticulata|platymenia reticulata,,plathymenia reticulata,"str_detect(           tree_species_name_clean,           ""plathymenia reticulata|platimenia reticulata|platymenia reticulata""         )"
563,species_normalized,,platymenia foliolosa|plathymenia foliolosa,,plathymenia foliolosa,"str_detect(           tree_species_name_clean,           ""platymenia foliolosa|plathymenia foliolosa""         )"
564,species_normalized,,platymiscium aff hebestachyum,,platymiscium hebestachyum,"str_detect(tree_species_name_clean, ""platymiscium aff hebestachyum"")"
565,species_normalized,,poeppgia procera,,poeppgia procera,"str_detect(tree_species_name_clean, ""poeppgia procera"")"
566,species_normalized,,pourouma guianensis,,pourouma guianensis,"str_detect(tree_species_name_clean, ""pourouma guianensis"")"
567,species_normalized,,priora balsamifera,,prioria balsamifera,"str_detect(tree_species_name_clean, ""priora balsamifera"")"
568,species_normalized,,protium aracouchini,,protium aracouchini,"str_detect(tree_species_name_clean, ""protium aracouchini"")"
569,species_normalized,,pseudobombax grandiflorum,,pseudobombax grandiflorum,"str_detect(tree_species_name_clean, ""pseudobombax grandiflorum"")"
570,species_normalized,,pseudobombax munguba,,pseudobombax munguba,"str_detect(tree_species_name_clean, ""pseudobombax munguba"")"
571,species_normalized,,pseudolmedia laevis,,pseudolmedia laevis,"str_detect(tree_species_name_clean, ""pseudolmedia laevis"")"
572,species_normalized,,psidium cattleanum|psidium cattleianum,,psidium cattleianum,"str_detect(           tree_species_name_clean,           ""psidium cattleanum|psidium cattleianum""         )"
573,species_normalized,,psidium myrtoides,,psidium myrtoides,"str_detect(tree_species_name_clean, ""psidium myrtoides"")"
574,species_normalized,,psidium rufum,,psidium rufum,"str_detect(tree_species_name_clean, ""psidium rufum"")"
575,species_normalized,,pterigota brasiliensis,,pterigota brasiliensis,"str_detect(tree_species_name_clean, ""pterigota brasiliensis"")"
576,species_normalized,,centrolobium microcaete,,centrolobium microcaete,"str_detect(tree_species_name_clean, ""centrolobium microcaete"")"
577,species_normalized,,pterocarpus rohrii,,pterocarpus rohrii,"str_detect(tree_species_name_clean, ""pterocarpus rohrii"")"
578,species_normalized,,rapanea ferruginea,,rapanea ferruginea,"str_detect(tree_species_name_clean, ""rapanea ferruginea"")"
579,species_normalized,,schefflera morototoni,,schefflera morototoni,"str_detect(tree_species_name_clean, ""schefflera morototoni"")"
580,species_normalized,,schizolobium parahyba|schysolobium parayba|scizolobium parahyba,,schizolobium parahyba,"str_detect(           tree_species_name_clean,           ""schizolobium parahyba|schysolobium parayba|scizolobium parahyba""         )"
581,species_normalized,,senegalia polyphylla,,senegalia polyphylla,"str_detect(tree_species_name_clean, ""senegalia polyphylla"")"
582,species_normalized,,senna alata,,senna alata,"str_detect(tree_species_name_clean, ""senna alata"")"
583,species_normalized,,senna macranthera,,senna macranthera,"str_detect(tree_species_name_clean, ""senna macranthera"")"
584,species_normalized,,senna multijuga,,senna multijuga,"str_detect(tree_species_name_clean, ""senna multijuga"")"
585,species_normalized,,socratea exorrhiza,,socratea exorrhiza,"str_detect(tree_species_name_clean, ""socratea exorrhiza"")"
586,species_normalized,,sparattanthelium botocudorum,,sparattanthelium botocudorum,"str_detect(tree_species_name_clean, ""sparattanthelium botocudorum"")"
587,species_normalized,,sparattosperma leucanthum,,sparattosperma leucanthum,"str_detect(tree_species_name_clean, ""sparattosperma leucanthum"")"
588,species_normalized,,spondias macrocarpa,,spondias macrocarpa,"str_detect(tree_species_name_clean, ""spondias macrocarpa"")"
589,species_normalized,,spondias venulosa,,spondias venulosa,"str_detect(tree_species_name_clean, ""spondias venulosa"")"
590,species_normalized,,tabebuia chrysanthav,,tabebuia chrysanthus,"str_detect(tree_species_name_clean, ""tabebuia chrysanthav"")"
591,species_normalized,,terminalia fagifolia,,terminalia fagifolia,"str_detect(tree_species_name_clean, ""terminalia fagifolia"")"
592,species_normalized,,terminalia tetraphylla,,terminalia tetraphylla,"str_detect(tree_species_name_clean, ""terminalia tetraphylla"")"
593,species_normalized,,theobrama speciosum,,theobrama speciosum,"str_detect(tree_species_name_clean, ""theobrama speciosum"")"
594,species_normalized,,thyrsodium schomburgkianum,,thyrsodium schomburgkianum,"str_detect(tree_species_name_clean, ""thyrsodium schomburgkianum"")"
595,species_normalized,,tibouchina granulosa,,tibouchina granulosa,"str_detect(tree_species_name_clean, ""tibouchina granulosa"")"
596,species_normalized,,trattinickia rhoifolia,,trattinickia rhoifolia,"str_detect(tree_species_name_clean, ""trattinickia rhoifolia"")"
597,species_normalized,,vataireopsis araroba,,vataireopsis araroba,"str_detect(tree_species_name_clean, ""vataireopsis araroba"")"
598,species_normalized,,virola venosa,,virola venosa,"str_detect(tree_species_name_clean, ""virola venosa"")"
599,species_normalized,,zieria arboresence|ziera arboresence,,zieria arborescens,"str_detect(           tree_species_name_clean,           ""zieria arboresence|ziera arboresence""         )"
600,species_normalized,,ziziphus mucronata,,ziziphus mucronata,"str_detect(tree_species_name_clean, ""ziziphus mucronata"")"
601,species_normalized,,albizia aldantifolio|albizia adiantifolia|albizia aldantifolia|albizia andianthifolia,,albizia adianthifolia,"str_detect(           tree_species_name_clean,           ""albizia aldantifolio|albizia adiantifolia|albizia aldantifolia|albizia andianthifolia""         )"
602,species_normalized,,albizia antelhelmitica,,albizia anthelmintica,"str_detect(tree_species_name_clean, ""albizia antelhelmitica"")"
603,species_normalized,,disthamenanthus bentamianus,,distemonanthus benthamianus,"str_detect(tree_species_name_clean, ""disthamenanthus bentamianus"")"
604,species_normalized,,crateva andansonii subsp odorata,,crateva adansonii subsp. odora,"str_detect(tree_species_name_clean, ""crateva andansonii subsp odorata"")"
605,species_normalized,,peltogyne vogel,,peltogyne,"str_detect(tree_species_name_clean, ""peltogyne vogel"")"
606,species_normalized,,pseudosamanea tabaco,,pseudosamanea,"str_detect(tree_species_name_clean, ""pseudosamanea tabaco"")"
607,species_normalized,,pterogyne nitens,,pterogyne nitens,"str_detect(tree_species_name_clean, ""pterogyne nitens"")"
608,species_normalized,,tabernaemontana catharinensis,,tabernaemontana catharinensis,"str_detect(tree_species_name_clean, ""tabernaemontana catharinensis"")"
609,species_normalized,,schinus terebentifolius,,schinus terebinthifolius,"str_detect(tree_species_name_clean, ""schinus terebentifolius"")"
610,species_normalized,,andira legalis,,andira legalis,"str_detect(tree_species_name_clean, ""andira legalis"")"
611,species_normalized,,chorisia specios,,chorisia speciosa,"str_detect(tree_species_name_clean, ""chorisia specios"")"
612,species_normalized,species_normalized,,albizia sp,albizia,"tree_species_name_clean %in% c(""albizia sp"")"
613,species_normalized,species_normalized,,cassia sp,cassia,"tree_species_name_clean %in% c(""cassia sp"")"
614,species_normalized,species_normalized,,cedrela spp,cedrela,"tree_species_name_clean %in% c(""cedrela spp"")"
615,species_normalized,,ekerbagia capensis|ekerbergia kapensis,,ekebergia capensis,"str_detect(           tree_species_name_clean,           ""ekerbagia capensis|ekerbergia kapensis""         )"
616,species_normalized,,eucalyptus maideni,,eucalyptus maidenii,"str_detect(tree_species_name_clean, ""eucalyptus maideni"")"
617,species_normalized,,ficus eriobotryoidesa,,eriobotrya japonica,"str_detect(tree_species_name_clean, ""ficus eriobotryoidesa"")"
618,species_normalized,,markamia lutea,,markhamia lutea,"str_detect(tree_species_name_clean, ""markamia lutea"")"
619,species_normalized,,vachellia abyssinica,,vachellia abyssinica,"str_detect(tree_species_name_clean, ""vachellia abyssinica"")"
620,species_normalized,,aegle marmelous,,aegle marmelos,"str_detect(tree_species_name_clean, ""aegle marmelous"")"
621,species_normalized,,allocasuarina verticiallata|allocasurina verticillata,,allocasuarina verticillata,"str_detect(           tree_species_name_clean,           ""allocasuarina verticiallata|allocasurina verticillata""         )"
622,species_normalized,,alnus acuminata|alnus acuminate|alnus acumita|alnus acumunata,,alnus acuminata,"str_detect(           tree_species_name_clean,           ""alnus acuminata|alnus acuminate|alnus acumita|alnus acumunata""         )"
623,species_normalized,,phyllanthus emblica|\baonla\b|\baaonla\b|aonlan,,phyllanthus emblica,"str_detect(           tree_species_name_clean,           ""phyllanthus emblica|\\baonla\\b|\\baaonla\\b|aonlan""         )"
624,species_normalized,,anogeissus leiocarpus,,anogeissus leiocarpus,"str_detect(tree_species_name_clean, ""anogeissus leiocarpus"")"
625,species_normalized,,arjun,,terminalia arjuna,"str_detect(tree_species_name_clean, ""arjun"")"
626,species_normalized,,antrocaryon klaeneanum|antrocaryon klaenea,,antrocaryon klaineanum,"str_detect(           tree_species_name_clean,           ""antrocaryon klaeneanum|antrocaryon klaenea""         )"
627,species_normalized,,baie rose,,euonymus phellomanus,"str_detect(tree_species_name_clean, ""baie rose"")"
628,species_normalized,,sesbanie sesban,,sesbania sesban,"str_detect(tree_species_name_clean, ""sesbanie sesban"")"
629,species_normalized,,\bchindora\b,,chindora,"str_detect(tree_species_name_clean, ""\\bchindora\\b"")"
630,species_normalized,,\bchopwa\b,,chopwa,"str_detect(tree_species_name_clean, ""\\bchopwa\\b"")"
631,species_normalized,,\bcombuja\b,,pouteria butyrocarpa,"str_detect(tree_species_name_clean, ""\\bcombuja\\b"")"
632,species_normalized,,crudia zeylanica,,crudia zeylanica,"str_detect(tree_species_name_clean, ""crudia zeylanica"")"
633,species_normalized,,andira anthelmia,,andira anthelmia,"str_detect(tree_species_name_clean, ""andira anthelmia"")"
634,species_normalized,,diospyros cambodiana,,diospyros cambodiana,"str_detect(tree_species_name_clean, ""diospyros cambodiana"")"
635,species_normalized,,\bkachere\b,,ficus cyathistipula,"str_detect(tree_species_name_clean, ""\\bkachere\\b"")"
636,species_normalized,,lochroma arborescens,,lochroma arborescens,"str_detect(tree_species_name_clean, ""lochroma arborescens"")"
637,species_normalized,,mabea fistulifera,,mabea fistulifera,"str_detect(tree_species_name_clean, ""mabea fistulifera"")"
638,species_normalized,,mallotus plicatus,,mallotus plicatus,"str_detect(tree_species_name_clean, ""mallotus plicatus"")"
639,species_normalized,,martiodendron elatun,,martiodendron elatun,"str_detect(tree_species_name_clean, ""martiodendron elatun"")"
640,species_normalized,,\bmgoza\b,,perculia africana,"str_detect(tree_species_name_clean, ""\\bmgoza\\b"")"
641,species_normalized,,\bmimosia\b,,jacaranda macrantha,"str_detect(tree_species_name_clean, ""\\bmimosia\\b"")"
642,species_normalized,,\bmulora\b,,mulora,"str_detect(tree_species_name_clean, ""\\bmulora\\b"")"
643,species_normalized,,myracrodruon urundeuva,,myracrodruon urundeuva,"str_detect(tree_species_name_clean, ""myracrodruon urundeuva"")"
644,species_normalized,,paralonchurus brasiliensis,,margaritaria nobilis,"str_detect(tree_species_name_clean, ""paralonchurus brasiliensis"")"
645,species_normalized,,parapiptadenia rigida|paraptadenia rigida,,parapiptadenia rigida,"str_detect(tree_species_name_clean, ""parapiptadenia rigida|paraptadenia rigida"")"
646,species_normalized,,peltogyne peniculata,,peltogyne peniculata,"str_detect(tree_species_name_clean, ""peltogyne peniculata"")"
647,species_normalized,,peltogyne venosa densiflora,,peltogyne venosa subsp. densiflora,"str_detect(tree_species_name_clean, ""peltogyne venosa densiflora"")"
648,species_normalized,,picea engelmannii,,picea engelmannii,"str_detect(tree_species_name_clean, ""picea engelmannii"")"
649,species_normalized,,terminalia cambodiana,,terminalia cambodiana,"str_detect(tree_species_name_clean, ""terminalia cambodiana"")"
650,species_normalized,,aquilaria crassna,,aquilaria crassna,"str_detect(tree_species_name_clean, ""aquilaria crassna"")"
651,species_normalized,,aquilaria malaccensis,,aquilaria malaccensis,"str_detect(tree_species_name_clean, ""aquilaria malaccensis"")"
652,species_normalized,,cinnamomum porrectum,,cinnamomum porrectum,"str_detect(tree_species_name_clean, ""cinnamomum porrectum"")"
653,species_normalized,,cotylelobium lanceolatum,,cotylelobium lanceolatum,"str_detect(tree_species_name_clean, ""cotylelobium lanceolatum"")"
654,species_normalized,,dalbergia cochinchinensis,,dalbergia cochinchinensis,"str_detect(tree_species_name_clean, ""dalbergia cochinchinensis"")"
655,species_normalized,,dalbergia cultrata,,dalbergia cultrata,"str_detect(tree_species_name_clean, ""dalbergia cultrata"")"
656,species_normalized,,dalbergia oliveri,,dalbergia oliveri,"str_detect(tree_species_name_clean, ""dalbergia oliveri"")"
657,species_normalized,,dalbergia parviflora,,dalbergia parviflora,"str_detect(tree_species_name_clean, ""dalbergia parviflora"")"
658,species_normalized,,elaeocarpus randifloras,,elaeocarpus randifloras,"str_detect(tree_species_name_clean, ""elaeocarpus randifloras"")"
659,species_normalized,,erythrina variegate,,erythrina variegate,"str_detect(tree_species_name_clean, ""erythrina variegate"")"
660,species_normalized,,fagraea fragrans,,fagraea fragrans,"str_detect(tree_species_name_clean, ""fagraea fragrans"")"
661,species_normalized,,gynoxys aff pillahuatensis,,gynoxys pillahuatensis,"str_detect(tree_species_name_clean, ""gynoxys aff pillahuatensis"")"
662,species_normalized,,hopea ferrea,,hopea ferrea,"str_detect(tree_species_name_clean, ""hopea ferrea"")"
663,species_normalized,,hopea odorata,,hopea odorata,"str_detect(tree_species_name_clean, ""hopea odorata"")"
664,species_normalized,,koompassia excelsa,,koompassia excelsa,"str_detect(tree_species_name_clean, ""koompassia excelsa"")"
665,species_normalized,,lagerstroemia speciosa,,lagerstroemia speciosa,"str_detect(tree_species_name_clean, ""lagerstroemia speciosa"")"
666,species_normalized,,lagerstroemia loudonii,,lagerstroemia loudonii,"str_detect(tree_species_name_clean, ""lagerstroemia loudonii"")"
667,species_normalized,,neolamarckia cadamba,,neolamarckia cadamba,"str_detect(tree_species_name_clean, ""neolamarckia cadamba"")"
668,species_normalized,,pterocarpus macrocarpus,,pterocarpus macrocarpus,"str_detect(tree_species_name_clean, ""pterocarpus macrocarpus"")"
669,species_normalized,,schleichera oleosa,,schleichera oleosa,"str_detect(tree_species_name_clean, ""schleichera oleosa"")"
670,species_normalized,,shorea obtusa,,shorea obtusa,"str_detect(tree_species_name_clean, ""shorea obtusa"")"
671,species_normalized,,shorea siamensis,,shorea siamensis,"str_detect(tree_species_name_clean, ""shorea siamensis"")"
672,species_normalized,,sindora siamensis,,sindora siamensis,"str_detect(tree_species_name_clean, ""sindora siamensis"")"
673,species_normalized,,terminalia bellirica|\bbaheda\b,,terminalia bellirica,"str_detect(tree_species_name_clean, ""terminalia bellirica|\\bbaheda\\b"")"
674,species_normalized,,xylia xylocarpa,,xylia xylocarpa,"str_detect(tree_species_name_clean, ""xylia xylocarpa"")"
675,species_normalized,,comb trifoliatum|combr trifoliatum|combretu trifoliatum|combret trifoliatum|combre trifoliatum,,combretum trifoliatum,"str_detect(tree_species_name_clean, ""comb trifoliatum|combr trifoliatum|combretu trifoliatum|combret trifoliatum|combre trifoliatum"")"
676,species_normalized,,sinfonia grandifolia|sinfonia globilifera|synfonia globilifera,,symphonia globulifera,"str_detect(tree_species_name_clean, ""sinfonia grandifolia|sinfonia globilifera|synfonia globilifera"")"
677,tree_species_name,,classificaÃ§Ã£o superior: annona,,annona,"str_detect(tree_species_name, ""classificação superior: annona"")"
678,species_normalized,,lafoensia pacari,,lafoensia pacari,"str_detect(tree_species_name_clean, ""lafoensia pacari"")"
679,species_normalized,,paralonchurus brasiliensis,,margaritaria nobilis,"str_detect(tree_species_name_clean, ""paralonchurus brasiliensis"")"
680,species_normalized,,resinosa richardii,,rosa richardii,"str_detect(tree_species_name_clean, ""resinosa richardii"")"
681,species_normalized,,tabebuia roseoalba,,tabebuia roseoalba,"str_detect(tree_species_name_clean, ""tabebuia roseoalba"")"
682,species_normalized,,xanthorcesis zambeasiaca|xanthorcesis zambesiaca|xanthorcesis zambeasiaca,,xanthocercis zambesiaca,"str_detect(tree_species_name_clean, ""xanthorcesis zambeasiaca|xanthorcesis zambesiaca|xanthorcesis zambeasiaca"")"
683,species_normalized,species_normalized,,tamarugo,strombocarpa tamarugo,"tree_species_name_clean %in% c(""tamarugo"")"
684,species_normalized,species_normalized,,fermisiana mesquite,neltuma juliflora,"tree_species_name_clean %in% c(""fermisiana mesquite"")"
685,species_normalized,,styrax hasseltia,,styrax,"str_detect(tree_species_name_clean, ""styrax hasseltia"")"
686,species_normalized,,awla|indian gooseberry|aavla,,phyllanthus emblica,"str_detect(tree_species_name_clean, ""awla|indian gooseberry|aavla"")"
687,species_normalized,,chironji,,buchanania lanzan,"str_detect(tree_species_name_clean, ""chironji"")"
688,species_normalized,,dalbergia sisoo,,dalbergia sisoo,"str_detect(tree_species_name_clean, ""dalbergia sisoo"")"
689,species_normalized,,sesbania grandiflora,,sesbania grandiflora,"str_detect(tree_species_name_clean, ""sesbania grandiflora"")"
690,species_normalized,,vachellia leucophloea,,vachellia leucophloea,"str_detect(tree_species_name_clean, ""vachellia leucophloea"")"
691,species_normalized,species_normalized,,harra,terminalia cherbula,"tree_species_name_clean %in% c(""harra"")"
692,species_normalized,,acacia catechu,,senegalia catechu,"str_detect(tree_species_name_clean, ""acacia catechu"")"
693,species_normalized,,dichanthium annulatum,,dichanthium annulatum,"str_detect(tree_species_name_clean, ""dichanthium annulatum"")"
694,species_normalized,,sapindus trifoliatus,,sapindus trifoliatus,"str_detect(tree_species_name_clean, ""sapindus trifoliatus"")"
695,species_normalized,species_normalized,,seasame,sesamum indicum,"tree_species_name_clean %in% c(""seasame"")"
696,species_normalized,,androya decaryi,,androya decaryi,"str_detect(tree_species_name_clean, ""androya decaryi"")"
697,species_normalized,,barringtonia acutangular,,barringtonia acutangula,"str_detect(tree_species_name_clean, ""barringtonia acutangular"")"
698,species_normalized,,canarium boivini,,canarium boivini,"str_detect(tree_species_name_clean, ""canarium boivini"")"
699,species_normalized,,crataeva excelsa,,crataeva excelsa,"str_detect(tree_species_name_clean, ""crataeva excelsa"")"
700,species_normalized,,cupania cf vernalis,,cupania vernalis,"str_detect(tree_species_name_clean, ""cupania cf vernalis"")"
701,species_normalized,,ficus baroni,,ficus baroni,"str_detect(tree_species_name_clean, ""ficus baroni"")"
702,species_normalized,,ficus megapoda,,ficus megapoda,"str_detect(tree_species_name_clean, ""ficus megapoda"")"
703,species_normalized,,leea guineengis,,leea guineengis,"str_detect(tree_species_name_clean, ""leea guineengis"")"
704,species_normalized,,pourpatria caffra,,pourpatria caffra,"str_detect(tree_species_name_clean, ""pourpatria caffra"")"
705,species_normalized,,protorhus grandidieri,,protorhus grandidieri,"str_detect(tree_species_name_clean, ""protorhus grandidieri"")"
706,species_normalized,,tabebuia donnel-smithii|tabebuia donnel smithii|tabebuia donnell-smithii|reseodendron donnell|reseodendro donnell|tabebuia donnel|tabebuia donnell|tabebuila donnnell|tebebuia donell|roseodendron donnell,,roseodendron donnell-smithii,"str_detect(tree_species_name_clean, ""tabebuia donnel-smithii|tabebuia donnel smithii|tabebuia donnell-smithii|reseodendron donnell|reseodendro donnell|tabebuia donnel|tabebuia donnell|tabebuila donnnell|tebebuia donell|roseodendron donnell"")"
707,species_normalized,,tapiriria guianens,,tapirira guianensis,"str_detect(tree_species_name_clean, ""tapiriria guianens"")"
708,species_normalized,,weinmannia decera,,weinmannia decera,"str_detect(tree_species_name_clean, ""weinmannia decera"")"
709,species_normalized,species_normalized,,voatsi || voats,piper borbonense,"tree_species_name_clean %in% c(""voatsi"", ""voats"")"
710,species_normalized,,acacia milleniana|acacia milleriana,,acacia milleriana,"str_detect(tree_species_name_clean, ""acacia milleniana|acacia milleriana"")"
711,species_normalized,species_normalized,,elaeocarpus pseudo macaranga,elaeocarpus,"tree_species_name_clean %in% c(""elaeocarpus pseudo macaranga"")"
712,species_normalized,,diospyros kaki,,diospyros kaki,"str_detect(tree_species_name_clean, ""diospyros kaki"")"
713,species_normalized,,bapeba de nervura,,ecclinusa ramiflora,"str_detect(tree_species_name_clean, ""bapeba de nervura"")"
714,species_normalized,,bapeba branca,,pouteria bapeba,"str_detect(tree_species_name_clean, ""bapeba branca"")"
715,species_normalized,,byrsonima verbascifolia,,byrsonima verbascifolia,"str_detect(tree_species_name_clean, ""byrsonima verbascifolia"")"
716,species_normalized,,citrus hystrix,,citrus hystrix,"str_detect(tree_species_name_clean, ""citrus hystrix"")"
717,species_normalized,,annona silvestris|burselas simaruba,,annona silvestris,"str_detect(tree_species_name_clean, ""annona silvestris|burselas simaruba"")"
718,species_normalized,,brursera cimagura,,bursera simaruba,"str_detect(tree_species_name_clean, ""brursera cimagura"")"
719,species_normalized,,brysonima alicastrum,,brosimum alicastrum,"str_detect(tree_species_name_clean, ""brysonima alicastrum"")"
720,species_normalized,,byrsonima sericea,,byrsonima sericea,"str_detect(tree_species_name_clean, ""byrsonima sericea"")"
721,species_normalized,,cordea oleadora|cordia alliodora|cordial allidora,,cordia alliodora,"str_detect(tree_species_name_clean, ""cordea oleadora|cordia alliodora|cordial allidora"")"
722,species_normalized,species_normalized,cuercus plantae,cuercus,quercus,"str_detect(tree_species_name_clean, ""cuercus plantae"") |            tree_species_name_clean %in% c(""cuercus"")"
723,species_normalized,,dombeya lucida,,dombeya lucida,"str_detect(tree_species_name_clean, ""dombeya lucida"")"
724,species_normalized,,dracaena madagascariensis,,dracaena marginata,"str_detect(tree_species_name_clean, ""dracaena madagascariensis"")"
725,species_normalized,,erictrina poepitiana|eritrina poepitiana,,erythrina poeppigiana,"str_detect(tree_species_name_clean, ""erictrina poepitiana|eritrina poepitiana"")"
726,species_normalized,,eucalyptus radiata,,eucalyptus radiata,"str_detect(tree_species_name_clean, ""eucalyptus radiata"")"
727,species_normalized,,eucalyptus viminalis pyroriana,,eucalyptus viminalis subsp. pyroriana,"str_detect(tree_species_name_clean, ""eucalyptus viminalis pyroriana"")"
728,species_normalized,,farinha seca,,jujpunba langsdorffii,"str_detect(tree_species_name_clean, ""farinha seca"")"
729,species_normalized,,gameleira vermelha,,ficus insipida,"str_detect(tree_species_name_clean, ""gameleira vermelha"")"
730,species_normalized,,hyeromina alchorneoides,,hieronyma alchorneoides,"str_detect(tree_species_name_clean, ""hyeromina alchorneoides"")"
731,species_normalized,,jacaranda semisserrata,,jacaranda semisserrata,"str_detect(tree_species_name_clean, ""jacaranda semisserrata"")"
732,species_normalized,,jaratropa curvas,,jatropha curcas,"str_detect(tree_species_name_clean, ""jaratropa curvas"")"
733,species_normalized,species_normalized,,justica,justicia,"tree_species_name_clean %in% c(""justica"")"
734,species_normalized,,laurel silvestre,,litsea glaucescens,"str_detect(tree_species_name_clean, ""laurel silvestre"")"
735,species_normalized,,leptospernum contentinale,,leptospermum continentale,"str_detect(tree_species_name_clean, ""leptospernum contentinale"")"
736,species_normalized,,majuelos carataegus,,crataegus monogyna,"str_detect(tree_species_name_clean, ""majuelos carataegus"")"
737,species_normalized,species_normalized,,makus,malus,"tree_species_name_clean %in% c(""makus"")"
738,species_normalized,,murici da praia|byrsinomia crassifolia|byrsonina crassifolia,,byrsonima crassifolia,"str_detect(tree_species_name_clean, ""murici da praia|byrsinomia crassifolia|byrsonina crassifolia"")"
739,species_normalized,,palo balsa,,ochroma pyramidale,"str_detect(tree_species_name_clean, ""palo balsa"")"
740,species_normalized,,pau dalho,,gallesia integrifolia,"str_detect(tree_species_name_clean, ""pau dalho"")"
741,species_normalized,,pau pombo,,tapirira guianensis,"str_detect(tree_species_name_clean, ""pau pombo"")"
742,species_normalized,,pau sangue,,pterocarpus vernalis,"str_detect(tree_species_name_clean, ""pau sangue"")"
743,species_normalized,,pino oocarpa,,pinus oocarpa,"str_detect(tree_species_name_clean, ""pino oocarpa"")"
744,species_normalized,,platymisciun dimhorphan,,platymiscium dimorphandrum,"str_detect(tree_species_name_clean, ""platymisciun dimhorphan"")"
745,species_normalized,,polyclea nodosa,,polyscias nodosa,"str_detect(tree_species_name_clean, ""polyclea nodosa"")"
746,species_normalized,,sclerocarya birrea,,sclerocarya birrea,"str_detect(tree_species_name_clean, ""sclerocarya birrea"")"
747,species_normalized,,syzigum verracusum,,syzygium verrucosum,"str_detect(tree_species_name_clean, ""syzigum verracusum"")"
748,species_normalized,,syzyguim armoticum,,syzygium aromaticum,"str_detect(tree_species_name_clean, ""syzyguim armoticum"")"
749,species_normalized,,tabernaemontana donnell,,tabernaemontana donnell-smithii,"str_detect(tree_species_name_clean, ""tabernaemontana donnell"")"
750,species_normalized,,thestostroemia dentata,,ternstroemia dentata,"str_detect(tree_species_name_clean, ""thestostroemia dentata"")"
751,species_normalized,,xylopia frutescens,,xylopia frutescens,"str_detect(tree_species_name_clean, ""xylopia frutescens"")"
752,species_normalized,,zanthoxylum nemorale,,zanthoxylum nemorale,"str_detect(tree_species_name_clean, ""zanthoxylum nemorale"")"
753,species_normalized,,baudouina flugeiformis|baudouinia fluggeiformis|baundonia flugguformis,,baudouinia flueggeiformis,"str_detect(tree_species_name_clean, ""baudouina flugeiformis|baudouinia fluggeiformis|baundonia flugguformis"")"
754,species_normalized,,crisophyllum cainito|crhysopyllum cainito|crisophyllum cainitu,,chrysophyllum cainito,"str_detect(tree_species_name_clean, ""crisophyllum cainito|crhysopyllum cainito|crisophyllum cainitu"")"
755,species_normalized,species_normalized,,eugennia aff,eugenia affinis,"tree_species_name_clean %in% c(""eugennia aff"")"
756,species_normalized,,juerana branca,,hydrochorea pedicellaris,"str_detect(tree_species_name_clean, ""juerana branca"")"
757,species_normalized,,nectandra membranacea,,nectandra membranacea,"str_detect(tree_species_name_clean, ""nectandra membranacea"")"
758,species_normalized,,parmentiera aculeata,,parmentiera aculeata,"str_detect(tree_species_name_clean, ""parmentiera aculeata"")"
759,species_normalized,,senefeldera multiflora,,senefeldera multiflora,"str_detect(tree_species_name_clean, ""senefeldera multiflora"")"
760,species_normalized,,syagrus botryophora,,syagrus botryophora,"str_detect(tree_species_name_clean, ""syagrus botryophora"")"
761,species_normalized,,nephelium philippinense,,nephelium lappaceum,"str_detect(tree_species_name_clean, ""nephelium philippinense"")"
