tree_species_uuid,name_clean
639a3758-9282-40da-8137-6d6acce129a6,Acacia anguistissima
ce1aefdb-5894-460a-93b3-d81bfd9bfc95,Acacia anguistissima
49f88397-20e2-480d-a005-530228666cdb,Acacia anguistissima
4035c9f0-093e-4d00-ad27-1e4a709789ba,Acacia anguistissima
f4cfbac1-5ad3-4e65-88ca-da94149e5339,Acacia angustissima
d6d8d604-ef94-42c4-817f-246c68d477f0,Acacia nguistissima
456f53bc-1fb5-4407-84f3-9e33446106e3,Khaya ivorensis
83c70873-151d-4d6b-bd0d-22b3249d4817,Acacia polyacantha
d2450da2-b2d1-4432-9b61-27f8fed324b0,Orita multicola
3432805a-1728-4ce7-80ec-109e036a3375,Orita multicola
3cde386b-bcee-40c7-b241-e00d587670e3,Orita multicola
33d022f8-32e1-48f6-adf7-507138816482,Orita multicola
a163d4aa-b05d-44c8-b7f9-b5ff02f2c848,Acocarpus fraxinifolius
e8c3e652-1df2-4487-b2a6-f6aa25b58ab9,Acrocarpus fraxinifolius
0ec35ece-329c-4e0e-9670-2c5c8a5df33e,Acrocarpus fraxinifolius
f4336e57-a7fe-4a0e-8eac-a176486a8248,Acrocarpus fraxinifolius
28dbd3bb-8c15-48d1-a53b-e3f1642eaa5b,Acrocarpus fraxinifolius
a2a4caa9-3fb1-401e-956f-94cb4ca3b38e,Acrocarpus fraxinifolius
4924e9ee-367f-4c3a-9961-a828f8b97143,Acrocarpus fraxinifolius
433acffe-ce68-474d-b36e-0b0f9f36a1a6,Acrocarpus fraxinifolius
811b0470-23b4-4ce5-8162-356c80e530e1,Acrocarpus fraxinifolius
20a01a46-ec60-4e9a-8894-361105390716,Acrocarpus fraxinifolius
a03e9cfd-f596-44e1-b53d-d3518ad0e752,Acrocarpus fraxinifolius
2a30dc0e-75b9-4cca-810c-2fe694a58faa,Acrocarpus fraxinifolius
12635bcc-3e64-44ae-b073-cd8b703e153a,Acrocarpus frxinifolius
b3d782af-6657-422b-94c8-0708ba6ab970,Adansonia digita
3aa8f58c-819d-4317-9c7d-9417a54d6774,Adansonia digitata
9a19428e-cad2-4f8d-b7fe-dbd7bf5f1f7d,Adansonia digitata
d363effa-3c59-4b8c-b5a7-6ebd1c06ca01,Adansonia digitata
46c94b40-38ca-499c-b73c-0a4c071e95dc,Adansonia digitata
d937132e-b94e-473e-906b-7f6d46043b63,Adansonia digitata
8911205b-949b-443e-b3d6-11d5a988ee7a,Adansonia digitata
57fde30f-cfa2-45a8-a340-192bf6523f3c,Adansonia digitata
5747356b-c448-457b-a32e-a361ae3d0054,Adansonia digitata
5b95c0f7-0f81-4eb2-8c08-7f7116fef9f9,Adansonia digitata
9677f036-d6f8-419a-ae98-ce118024a012,Adansonia digitata
3569728c-1113-461f-83c1-a0f591974acd,Adansonia digitata
97a2f7b6-d7d9-4524-aa16-aeba8dcac75b,Adansonia digitata
51f2f4c4-9f93-4c70-8780-03bd531825f4,Adansonia digitata
011def86-4eaa-4307-b997-d95156b35983,Adansonia digitata
6f0296a1-0852-40e2-a0d0-82271af3bd1e,Adansonia digitata
73836987-6409-4dd4-8c1d-994885b4893b,Adansonia digitata
859dd50b-3c9f-4dcd-b313-9c13ca3ce848,Adansonia digitata
688c1002-d8f6-4c5b-a53c-e66bc66b4242,Adansonia digitata
3951a072-2cac-4c12-9072-ca7fb5d2eea9,Adansonia digitata
e5ad39f7-5fe9-41e0-894c-f5768c2939f2,Adansonia digitata
4613a888-160e-48c5-a3e2-c0e852f4c6b4,Adansonia digitata
4b55be19-7fc6-405f-950f-f72a3ea56b6b,Adansonia digitata
40aae77b-0062-4fc8-b86a-f2f1e91cd8d4,Adansonia digitata
f40d74fa-5184-4e23-a85b-25d09184eba5,Adansonia grandidieri
df1a2822-6225-4f34-aff1-dbc14a7c3ab6,Adansonia grandidieri
66e172d2-b89e-4c28-9849-2b65b0b28539,Adansonia grandidieri
cdf04964-48b1-4a92-927d-bfad7a28fe26,Adansonia digitata
a8c2e2cf-c672-41be-aa63-6fe98924dae1,Spathodea campanulata
dc64eca8-bd2d-4fbe-88c0-1b608f1663ba,Khaya
6c2edf86-9eef-4d66-9301-24f837c3c29a,Spathodea campanulata
8ffd65dc-cb13-4469-b4ab-c5c377d16f1b,Spathodea campanulata
5c90d436-1cd6-4dcc-a9b3-5e521eaefdb5,Spathodea campanulata
4accac92-a4dc-4743-a2d6-def1c6a85b13,Spathodea campanulata
58ae7265-35c6-4523-8186-f6cfe670c928,Spathodea campanulata
31d74158-3fb3-4d08-85fa-7f62ca62d962,Spathodea campanulata
4d50abc7-dd43-4d02-8003-563291ec1bed,Afromosia angolesis
6aa55422-b7c0-4593-aa00-dda34401f30f,Afzelai africana
3e5d06e4-d25e-4ca9-b452-fd3142cad32b,Afzelai africana
56cf6e26-da49-4dca-90ce-a7fcc9e3efa6,Afzelai africana
471e9362-958b-4c2d-b6e2-308dcc431955,Afzelai africana
b727cbb1-a53e-40b3-a3c7-8bd8d079ffab,Afzelai africana
7a4e0117-86e7-41cd-8d71-261ae6675f68,Afzelai africana
7abe568d-0d53-4433-9b5c-a5cf2a26ccb1,Afzelai africana
b3264c5f-23d0-43ef-b674-0d227b37fa97,Afzelai africana
21d1b383-719a-4603-b5b8-63908741a99f,Afzelai africana
165b77cc-55b6-4cb4-9fd1-cef94a7c0ff7,Afzelai africana
5aa1d4d8-3161-4e1a-a9e5-6f78245b72ca,Afzelai africana
e1512bad-2007-4b1b-8572-8b36595f09ff,Afzelai africana
a118d583-8bb8-4b55-bb2b-56ca34535bb6,Afzelai africana
599b2e21-98dd-429e-b737-68def44b81ef,Afzelai africana
44643e70-30cf-4f06-82c1-27a688254d04,Afzelai africana
e75697c8-a9b7-43ba-8110-bb53a4ea7bcf,Afzelai africana
ffc1d53a-6a79-440c-9fe0-9c55a753f89f,Afzelai africana
8d0d9473-3c74-4da9-a6a9-fb2dc3ef53fc,Afzelai africana
847eee47-9821-4a15-813b-5b53b0cf4078,Afzelai africana
e42d1837-92eb-44e8-9cfa-4f6d42624da6,Afzelai africana
9c4afcd2-6fbf-4477-931a-adb3fafdffd9,Afzelai africana
067f5ada-2bed-4b33-aca8-40f98b88f9a5,Afzelai africana
995d311c-5916-466c-aa26-5157b3a9a364,Afzelai africana
fc11b2f3-a552-411c-81c0-014aa6dfe6cf,Afzelai africana
efeba31e-f60c-424c-b768-2720ca6a5074,Afzelai africana
0cbee75c-0e8d-4710-b7f0-693a4c22d146,Afzelai africana
c6ca0e78-2764-4daa-b47b-c787c657398f,Afzelai africana
0d2b0b14-85f0-4040-b143-41a59c7097c8,Afzelia africana
69a6f0a8-d274-4658-aa8e-b78db5b04a5e,Afzelia africana
25e36b60-a808-43a1-841b-4ddb0e3174b6,Afzelia africana
8ed6d9c6-c426-4970-8696-350f3cbd3f1a,Afzelia africana
f6df9afb-24ce-4821-84e9-f8a3aa888e26,Afzelia africana
edc7e382-7f0d-4941-a1c7-18f1c3d41bc5,Afzelia africana
20091d69-19db-4ba2-9eca-a495064d46c8,Afzelia africana
bfab0b1c-87b4-48d6-8181-80e539e5a18a,Afzelia africana
9ba889c3-e966-4b93-9700-fc88a2852117,Afzelia africana
369dd851-7c7a-4a58-9139-928d429b2c05,Afzelia africana
1b3e208c-ab0d-4307-af4a-d1c6bf449404,Afzelia africana
cb11659b-442d-4b63-9a7c-463b6d5f2e2a,Afzelia africana
a1069635-39b9-4c4a-9d66-3fa6f73e96d6,Afzelia africana
e8223d52-1e30-4ccb-9cb6-a12004c3fc84,Afzelia africana
c2147654-f18e-451a-a7dc-c2941c6a7453,Afzelia africana
af6c1779-2852-456d-8abc-73f79035e542,Afzelia africana
73a3da4f-4e88-4308-826f-4d3ece9b7cd5,Afzelia africana
25de8d3e-3c0f-4a8d-9e82-2d335cfcb1f3,Afzelia africana
a44cb216-0f3f-4b55-a8a1-99236dc7d848,Afzelia africana
eab3198e-a11c-42dd-98f8-99962231ca03,Afzelia africana
261d732d-7f6e-40ef-846d-06ff5d547078,Afzelia africana
bb2eb163-9682-4e2d-a1ba-fdd85d377ddc,Afzelia africana
3b0d3dd5-5bf3-4233-b345-c8d8f235a88b,Afzelia africana
8a335008-acf3-4fa6-8d6f-8e8bcaef355f,Afzelia africana
3643ea6a-d7a4-4756-b9d6-547fcd03ae14,Afzelia africana
a5141ad9-af3b-4386-a919-477245d41743,Afzelia africana
776c82e9-33ce-4642-9770-c8f6d8e09120,Afzelia africana
